cpd:C00001	H2O; Water
cpd:C03519	N-Acetyl-L-phenylalanine
cpd:C03539	S-Ribosyl-L-homocysteine; S-D-Ribosyl-L-homocysteine; Ribose-5-S-homocysteine; S-Ribosylhomocysteine; S-(5-Deoxy-D-ribos-5-yl)-L-homocysteine
cpd:C03541	Tetrahydrofolyl-[Glu](n); Tetrahydrofolyl-[Glu](n+1); THF-polyglutamate; Tetrahydropteroyl-[gamma-Glu]n; Tetrahydropteroyl-[gamma-Glu]n+1
cpd:C03546	myo-Inositol 4-phosphate; D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-monophosphate; Inositol 4-phosphate
cpd:C03547	omega-Hydroxy fatty acid
cpd:C03548	trans-2,3-Epoxysuccinate
cpd:C03557	2-Aminoethylphosphonate; (2-Aminoethyl)phosphonate; Ciliatine
cpd:C03561	(R)-3-Hydroxybutanoyl-CoA; (3R)-3-Hydroxybutanoyl-CoA
cpd:C03564	1-Pyrroline-2-carboxylate; 1-Pyrroline-2-carboxylic acid; delta1-Pyrroline 2-carboxylate; 1-Pyrroline 2-carboxylate
cpd:C03567	2'-Hydroxydihydrodaidzein; 2'-Hydroxy-2,3-dihydrodaidzein
cpd:C03569	2,2',3-Trihydroxybiphenyl
cpd:C03572	2-Chloro-cis,cis-muconate
cpd:C03574	2-Formylaminobenzaldehyde
cpd:C03576	2-Mercaptoethanesulfonate; Reduced coenzyme M; HS-CoM; CoM
cpd:C03577	20-Hydroxyleukotriene E4; 20-OH-LTE4; 20-OH-Leukotriene E4
cpd:C03579	Gibberellin A8; 2beta-Hydroxygibberellin 1
cpd:C03582	Resveratrol; 3,4',5-Trihydroxystilbene; trans-Resveratrol
cpd:C03585	3-Chloro-cis,cis-muconate
cpd:C03586	2-Oxo-2,3-dihydrofuran-5-acetate; 3-Oxoadipate enol-lactone; 4,5-Dihydro-5-oxofuran-2-acetate; 5-Oxo-4,5-dihydrofuran-2-acetate
cpd:C03589	4-Hydroxy-2-oxopentanoate; 4-Hydroxy-2-oxovalerate
cpd:C03590	4-Hydroxyphenylglyoxylate; 4-Hydroxybenzoylformate; 4-Hydroxyphenylglyoxylic acid
cpd:C03594	7alpha-Hydroxycholesterol; Cholest-5-ene-3beta,7alpha-diol
cpd:C03595	8,11,14-Eicosatrienoyl-CoA; 8,11,14-Icosatrienoyl-CoA; (8Z,11Z,14Z)-Icosatrienoyl-CoA
cpd:C03598	CDP-3,6-dideoxy-D-glucose; CDPparatose; CDP-alpha-D-paratose
cpd:C03599	CDP-3,6-dideoxy-D-mannose; CDPtyvelose
cpd:C03611	Galactose oligosaccharide
cpd:C03614	Inosine 5'-tetraphosphate
cpd:C03618	L-threo-3-Methylaspartate
cpd:C03619	Methyl beta-D-galactoside; Methyl beta-D-galactopyranoside
cpd:C03621	N-Acetoxy-4-aminobiphenyl
cpd:C03622	N-Hydroxy-4-aminobiphenyl
cpd:C03640	Sphingosyl-phosphocholine
cpd:C03642	Taurolithocholate sulfate; 3alpha-Sulfatolithocholyltaurine; Taurolithocholic acid 3-sulfate
cpd:C03646	Bis-gamma-glutamylcystine; Oxidized gamma-glutamylcysteine; Bis-gamma-L-glutamyl-L-cystine; Oxidized gamma-L-glutamyl-L-cysteine
cpd:C03648	cis-3,4-Leucopelargonidin
cpd:C03652	(2R,3S)-2,3-Dimethylmalate
cpd:C03656	(S)-5-Amino-3-oxohexanoic acid; (S)-5-Amino-3-oxohexanoate
cpd:C03657	1,4-Dihydroxy-2-naphthoate; 1,4-Dihydroxy-2-naphthoic acid
cpd:C03659	1-O-Methyl-myo-inositol; 1D-1-O-Methyl-myo-inositol
cpd:C03660	3-O-Methyl-myo-inositol; 1D-3-O-Methyl-myo-inositol
cpd:C03664	2,4-Dichlorophenoxyacetate; 2,4-Dichlorophenoxyacetic acid; 2,4-D
cpd:C03671	2-Pyrone-4,6-dicarboxylate
cpd:C03672	3-(4-Hydroxyphenyl)lactate; 4-Hydroxyphenyllactate; p-Hydroxyphenyllactate; 2-Hydroxy-3-(4-hydroxyphenyl)propanoate
cpd:C03676	3-Hydroxy-cis,cis-muconate
cpd:C03677	4,21-Dehydrogeissoschizine
cpd:C03680	4-Imidazolone-5-propanoate; 4-Imidazolone-5-propionic acid; 4,5-Dihydro-4-oxo-5-imidazolepropanoate
cpd:C03681	5alpha-Pregnane-3,20-dione; 5alpha-Dihydroprogesterone
cpd:C03683	6-Demethylsterigmatocystin
cpd:C03684	6-Pyruvoyltetrahydropterin; 6-(1,2-Dioxopropyl)-5,6,7,8-tetrahydropterin; 6-Pyruvoyl-5,6,7,8-tetrahydropterin
cpd:C03686	O-Methylsterigmatocystin; 8-O-Methylsterigmatocystin
cpd:C03688	Apo-[acyl-carrier-protein]
cpd:C03691	CMP-N-glycoloylneuraminate; CMP-N-glycolylneuraminate; CMP-NeuNGc
cpd:C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol; D-Galactosyldiacylglycerol; 3-beta-D-Galactosyl-1,2-diacylglycerol; Monogalactosyldiglyceride; Monogalactosyl-diacylglycerol; MGDG; Galbeta1->3acyl2Gro; 3-(beta-D-Galactosyl)-1,2-diacyl-sn-glycerol
cpd:C03715	O-Alkylglycerone phosphate; Alkyl-glycerone 3-phosphate; Dihydroxyacetone phosphate alkyl ether
cpd:C03719	Phenylacetothiohydroximate
cpd:C03722	Quinolinate; Pyridine-2,3-dicarboxylate; Quinolinic acid; 2,3-Pyridinedicarboxylic acid
cpd:C03724	S-(5-Hydroxy-2-furoyl)-CoA
cpd:C03737	alpha-D-Xylose 1-phosphate
cpd:C03739	trans-1,2-Cyclohexanediol; trans-Cyclohexane-1,2-diol
cpd:C03740	(5-L-Glutamyl)-L-amino acid; L-gamma-Glutamyl-L-amino acid
cpd:C03741	(S)-4-Amino-5-oxopentanoate; L-Glutamate 1-semialdehyde
cpd:C03742	(S)-4-Hydroxymandelonitrile
cpd:C03747	11alpha-Hydroxyprogesterone
cpd:C03752	2-Amino-2-deoxy-D-gluconate; D-Glucosaminate; D-Glucosaminic acid; Glucosaminate
cpd:C03758	Dopamine; 4-(2-Aminoethyl)-1,2-benzenediol; 4-(2-Aminoethyl)benzene-1,2-diol; 3,4-Dihydroxyphenethylamine; 2-(3,4-Dihydroxyphenyl)ethylamine
cpd:C03765	4-Hydroxyphenylacetaldehyde; 2-(4-Hydroxyphenyl)acetaldehyde
cpd:C03771	5-Guanidino-2-oxopentanoate; 5-Guanidino-2-oxo-pentanoate; 2-Oxo-5-guanidinopentanoate; 2-Oxo-5-guanidino-pentanoate; 2-Oxoarginine
cpd:C03772	5beta-Androstane-3,17-dione
cpd:C03785	D-Tagatose 1,6-bisphosphate
cpd:C03793	N6,N6,N6-Trimethyl-L-lysine
cpd:C03794	N6-(1,2-Dicarboxyethyl)-AMP; N6-(1,2-Dicarboxyethyl)AMP; Adenylosuccinate; Adenylosuccinic acid
cpd:C03819	1-Acylglycerophosphoinositol; 1-Acyl-sn-glycero-3-phosphoinositol
cpd:C03820	1-Alkyl-2-acetyl-sn-glycerol; 2-Acetyl-1-alkyl-sn-glycerol; 1-O-Alkyl-2-acetyl-sn-glycerol
cpd:C03824	2-Aminomuconate semialdehyde; 2-Aminomuconate 6-semialdehyde
cpd:C03826	2-Dehydro-3-deoxy-D-xylonate; 2-Dehydro-3-deoxy-D-arabinonate; 2-Dehydro-3-deoxy-D-pentonate; (4S)-4,5-Dihydroxy-2-oxopentanoate
cpd:C03838	5'-Phosphoribosylglycinamide; GAR; N1-(5-Phospho-D-ribosyl)glycinamide; Glycinamide ribonucleotide
cpd:C03845	5alpha-Cholest-8-en-3beta-ol; Zymostenol; Cholestenol
cpd:C03852	Androstan-3alpha,17beta-diol
cpd:C03862	Dolichyl phosphate D-mannose; Dolichyl D-mannosyl phosphate
cpd:C03871	L-2-Amino-6-oxoheptanedioate; L-2-Amino-6-oxopimelate
cpd:C03872	L-Serine-phosphoethanolamine; Serine phosphoethanolamine
cpd:C03882	Piperine; N-[(E,E)-Piperoyl]piperidine; 1-Piperoyl-piperidine
cpd:C03885	3-Nonaprenyl-4-hydroxybenzoate; Nonaprenyl-4-hydroxybenzoate
cpd:C03892	Phosphatidylglycerophosphate; 3(3-sn-Phosphatidyl)-sn-glycerol 1-phosphate; 3(3-Phosphatidyl-)L-glycerol 1-phosphate; 1,2-Diacyl-sn-glycero-3-phospho-sn-glycerol 3'-phosphate
cpd:C03897	Quercetin 3,3',7-trissulfate
cpd:C03898	Quercetin 3,4',7-trissulfate
cpd:C03906	beta-L-Arabinose 1-phosphate
cpd:C03912	(S)-1-Pyrroline-5-carboxylate; L-1-Pyrroline-5-carboxylate; 1-Pyrroline-5-carboxylate
cpd:C03917	Dihydrotestosterone; 17beta-Hydroxyandrostan-3-one; Androstanolone; 17beta-Hydroxy-5alpha-androstan-3-one
cpd:C03918	2,4-Dichloro-cis,cis-muconate
cpd:C03920	2-(Methylthio)ethanesulfonate; Methylcoenzyme M; Methyl-CoM
cpd:C03921	2-Dehydro-3-deoxy-D-glucarate
cpd:C03925	3,5-Dibromo-4-hydroxybenzoate
cpd:C03933	5-D-Glutamyl-D-glutamyl-peptide; gamma-D-Glutamyl-D-glutamyl-peptide
cpd:C03935	6beta-Hydroxy-17beta-estradiol; 6beta-Hydroxyestradiol-17beta
cpd:C03939	Acetyl-[acyl-carrier protein]
cpd:C03943	(2R,4S)-2,4-Diaminopentanoate; D-threo-2,4-Diaminopentanoate; 2,4-Diaminopentanoate
cpd:C03944	Dihydro-O-methylsterigmatocystin; DHOMST; Dihydromethylsterigmatocystin; 8-O-Methyldihydrosterigmatocystin
cpd:C03951	Luteolin 7-O-beta-D-glucoside; Luteolin 7-O-glucoside; 7-O-beta-D-Glucosyl-5,7,3',4'-tetrahydroxyflavone
cpd:C03955	N6-Acetyl-N6-hydroxy-L-lysine; N6-Acetyl-N6-hydroxylysine
cpd:C03958	Thyrotropin-releasing hormone; TRH; Protirelin; Thyroliberin
cpd:C03968	1-Alkyl-sn-glycero-3-phosphate; 1-Alkyl-sn-glycerol 3-phosphate; 1-O-Alkyl-sn-glycerol 3-phosphate
cpd:C03972	2,3,4,5-Tetrahydrodipicolinate; delta1-Piperidine-2,6-dicarboxylate; L-2,3,4,5-Tetrahydrodipicolinate; (S)-2,3,4,5-Tetrahydropyridine-2,6-dicarboxylate
cpd:C03974	2-Acyl-sn-glycerol 3-phosphate
cpd:C03979	2-Dehydro-3-deoxy-L-rhamnonate
cpd:C03981	2-Hydroxyethylenedicarboxylate; enol-Oxaloacetate; enol-Oxaloacetic acid; 2-Hydroxybut-2-enedioic acid
cpd:C03990	Lithocholic acid; Lithocholate; 3alpha-Hydroxy-5beta-cholanate; 3alpha-Hydroxy-5beta-cholanic acid
cpd:C03993	4-(beta-D-Glucosyloxy)benzoate; 4-Hydroxybenzoate-O-glucoside
cpd:C03997	5-Hydroxymethyldeoxycytidylate; 5-Hydroxymethyldeoxycytidylic acid; 2'-Deoxy-5-hydroxymethylcytidine 5'-phosphate
cpd:C04002	(Z)-But-1-ene-1,2,4-tricarboxylate; Homo-cis-aconitate; cis-Homoaconitate; (Z)-1,2,4-But-1-enetricarboxylic acid
cpd:C04006	1D-myo-Inositol 3-phosphate; D-myo-Inositol 3-phosphate; myo-Inositol 3-phosphate; Inositol 3-phosphate; 1D-myo-Inositol 3-monophosphate; D-myo-Inositol 3-monophosphate; myo-Inositol 3-monophosphate; Inositol 3-monophosphate; 1L-myo-Inositol 1-phosphate; L-myo-Inositol 1-phosphate
cpd:C04020	D-Lysopine; N2-(D-1-Carboxyethyl)-L-lysine; Lysopine
cpd:C04022	S,S-Dimethyl-beta-propiothetin; S-Dimethylsulfonium propionic acid; Dimethylpropiothetin; DMPT; DMSP
cpd:C04024	Vitexin 2''-O-beta-D-glucoside; Flavosativaside; 2''-O-Glucosylvitexin
cpd:C04037	1-Phospho-alpha-D-galacturonate; D-Galacturonate 1-phosphate
cpd:C04039	2,3-Dihydroxy-3-methylbutanoate; 2,3-Dihydroxy-isovalerate; 2,3-Dihydroxy-isovaleric acid
cpd:C04042	20alpha-Hydroxy-4-pregnen-3-one; 20alpha-Hydroxypregn-4-en-3-one; 20alpha-Hydroxyprogesterone; (S)-20-Hydroxypregn-4-en-3-one
cpd:C04043	3,4-Dihydroxyphenylacetaldehyde; Protocatechuatealdehyde
cpd:C04044	3-(2,3-Dihydroxyphenyl)propanoate; 2,3-Dihydroxyphenylpropanoate
cpd:C04045	3-(3,4-Dihydroxyphenyl)pyruvate; 3,4-Dihydroxyphenylpyruvate
cpd:C04046	3-D-Glucosyl-1,2-diacylglycerol; 1,2-Diacyl-3-beta-D-glucosyl-sn-glycerol; Monoglucosyldiglyceride; Monoglucosyl-diacylglycerol; Glcbeta1->3acyl2Gro
cpd:C04051	5-Amino-4-imidazolecarboxyamide
cpd:C04052	5-Carboxy-2-oxohept-3-enedioate; 5-Oxopent-3-ene-1,2,5-tricarboxylate
cpd:C04053	5-Dehydro-4-deoxy-D-glucuronate; 4-Deoxy-L-threo-5-hexosulose uronate
cpd:C04056	9-cis,11-trans-Octadecadienoate; (9Z,11E)-Octadecadienoic acid
cpd:C04062	D-myo-Inositol 1,3-bisphosphate; 1D-myo-Inositol 1,3-bisphosphate; myo-Inositol 1,3-bisphosphate; Inositol 1,3-bisphosphate
cpd:C04063	D-myo-Inositol 3,4-bisphosphate; 1D-myo-Inositol 3,4-bisphosphate; Inositol 3,4-bisphosphate
cpd:C04076	L-2-Aminoadipate 6-semialdehyde; 2-Aminoadipate 6-semialdehyde; L-Allysine; Allysine; (S)-2-Amino-6-oxohexanoate
cpd:C04079	N-((R)-Pantothenoyl)-L-cysteine; D-Pantothenoyl-L-cysteine; N-Pantothenoylcysteine
cpd:C04083	N6-(delta2-Isopentenyl)-adenine; N6-(3-Methylbut-2-enyl)adenine; 6-(gamma,gamma-Dimethylallylamino)purine; N6-Dimethylallyladenine
cpd:C04088	Octadecanoyl-[acyl-carrier protein]; Stearoyl-[acyl-carrier protein]
cpd:C04089	UDP-4-dehydro-6-deoxy-D-glucose; UDP-4-keto-6-deoxy-D-glucose; UDP-4-oxo-6-deoxy-D-glucose
cpd:C04091	cis-1,2-Dihydrobenzene-1,2-diol; cis-Benzeneglycol; cis-Cyclohexa-3,5-diene-1,2-diol
cpd:C04092	delta1-Piperideine-2-carboxylate; 1,2-Didehydropiperidine-2-carboxylate
cpd:C04106	2-(Hydroxymethyl)-4-oxobutanoate; alpha-Hydroxymethyl succinate semialdehyde; 2-Hydroxymethyl succinate semialdehyde
cpd:C04112	3-Methyl-cis,cis-hexadienedioate; 3-Methyl-cis,cis-muconate
cpd:C04114	4-(Trimethylammonio)but-2-enoate; Crotono-betaine; Crotonobetaine
cpd:C04115	4-Carboxy-4-hydroxy-2-oxoadipate; 4-Hydroxy-4-carboxymethyl-2-oxoglutarate; 2-Hydroxy-4-oxobutane-1,2,4-tricarboxylate
cpd:C04118	Isocorypalmine; 5,8,13,13a-Tetrahydrocolumbamine; (S)-Tetrahydrocolumbamine; (13aS)-5,8,13,13a-Tetrahydro-3,9,10-trimethoxy-6H-dibenzo[a,g]quinolizin-2-ol
cpd:C04121	CMP-3-deoxy-D-manno-octulosonate; CMP-KDO
cpd:C04122	D-1-Aminopropan-2-ol O-phosphate; (R)-1-Aminopropan-2-yl phosphate
cpd:C04133	N-Acetyl-L-glutamate 5-phosphate; N-Acetyl-L-glutamyl 5-phosphate
cpd:C04137	D-Octopine; N2-(D-1-Carboxyethyl)-L-arginine; N2-(1-Carboxyethyl)-L-arginine; Arginine, N2-(1-carboxyethyl)-, L-; D-(+)-Octopine; L-Arginine, N2-(1-carboxyethyl)-, (R)-; L-Arginine, N2-[(1R)-1-carboxyethyl]-; Octopine
cpd:C04145	all-trans-Nonaprenyl diphosphate; Solanesyl pyrophosphate; Solanesyl diphosphate
cpd:C04146	all-trans-Octaprenyl diphosphate; Farnesylfarnesylgeraniol
cpd:C04148	Phenylacetylglutamine; alpha-N-Phenylacetyl-L-glutamine; N2-(2-Phenylacetyl)-L-glutamine
cpd:C04170	13-(2-Methylcrotonoyl)oxylupanine; 13-(2-Methylcrotonoyl)oxylupinine; (+)-13alpha-Tigloyloxylupanine
cpd:C04171	(2S,3S)-2,3-Dihydro-2,3-dihydroxybenzoate; (2S,3S)-2,3-Dihydroxy-2,3-dihydroxybenzoate
cpd:C04178	Bromoxynil; 3,5-Dibromo-4-hydroxybenzonitrile
cpd:C04181	3-Hydroxy-3-methyl-2-oxobutanoic acid; 3-Hydroxy-3-methyl-2-oxobutanoate; 2-Oxo-3-hydroxyisovalerate
cpd:C04185	5,6-Dihydroxyindole-2-carboxylate; DHICA
cpd:C04186	5-Carboxymethyl-2-hydroxymuconate
cpd:C04188	S-Methyl-5-thio-D-ribose 1-phosphate; S-Methyl-5-thio-alpha-D-ribose 1-phosphate; S-Methyl-5-thio-5-deoxy-D-ribose 1-phosphate
cpd:C04199	Isovitexin 2''-O-beta-D-glucoside
cpd:C04216	all-trans-Heptaprenyl diphosphate
cpd:C04225	(Z)-But-2-ene-1,2,3-tricarboxylate; cis-2-Methylaconitate
cpd:C04226	6-Oxo-1,4,5,6-tetrahydronicotinate; 1,4,5,6-Tetrahydro-6-oxonicotinate; 1,4,5,6-Tetrahydro-6-oxonicotinic acid
cpd:C04227	Octopamine; 1-(4-Hydroxyphenyl)-2-aminoethanol; p-Hydroxyphenylethanolamine
cpd:C04230	1-Acyl-sn-glycero-3-phosphocholine; 1-Acyl-sn-glycerol-3-phosphocholine; alpha-Acylglycerophosphocholine; 2-Lysolecithin; 2-Lysophosphatidylcholine; 1-Acylglycerophosphocholine
cpd:C04233	2-Acyl-sn-glycero-3-phosphocholine; 2-Acylglycero-3-phosphocholine; 1-Lysophosphatidylcholine; 1-Lysolecithin; 3-Lysolecithin
cpd:C04236	(2S)-2-Isopropyl-3-oxosuccinate; 3-Carboxy-4-methyl-2-oxopentanoate; 2-Oxo-4-methyl-3-carboxypentanoate
cpd:C04242	5-Fluorodeoxyuridine monophosphate
cpd:C04244	6-Lactoyl-5,6,7,8-tetrahydropterin
cpd:C04246	But-2-enoyl-[acyl-carrier protein]
cpd:C04257	N-Acetyl-D-mannosamine 6-phosphate; N-Acetylmannosamine 6-phosphate
cpd:C04260	O-D-Alanyl-poly(ribitol phosphate)
cpd:C04268	dTDP-4-amino-4,6-dideoxy-D-glucose; dTDP-4-amino-4,6-dideoxy-alpha-D-glucose; dTDP-viosamine
cpd:C04271	3,9-Dihydroxypterocarpan; (6aR,11aR)-3,9-Dihydroxypterocarpan
cpd:C04272	(R)-2,3-Dihydroxy-3-methylbutanoate; (R)-2,3-Dihydroxy-isovalerate; (R)-2,3-Dihydroxy-isovaleric acid; (2R)-2,3-Dihydroxy-3-methylbutanoate
cpd:C04280	1-Guanidino-1-deoxy-scyllo-inositol; Amidino-scyllo-inosamine
cpd:C04281	L-1-Pyrroline-3-hydroxy-5-carboxylate; 3-Hydroxy-L-1-pyrroline-5-carboxylate; (3R,5S)-1-Pyrroline-3-hydroxy-5-carboxylate
cpd:C04282	1-Pyrroline-4-hydroxy-2-carboxylate
cpd:C04287	3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione; D-2,3-Diketo-4-deoxy-epi-inositol; (3R,4S,5R)-3,4,5-Trihydroxy-1,2-cyclohexanedione; 3,5/4-Trihydroxycyclohexa-1,2-dione
cpd:C04293	Chrysoeriol; 5,7,4'-Trihydroxy-3'-methoxyflavone; 3'-O-Methylluteolin
cpd:C04294	5-(2-Hydroxyethyl)-4-methylthiazole; 4-Methyl-5-(2'-hydroxyethyl)-thiazole; 4-Methyl-5-(2-hydroxyethyl)-thiazole
cpd:C04295	Androstenediol; Androst-5-ene-3beta,17beta-diol; 3beta,17beta-Dihydroxyandrost-5-ene; 3beta,17beta-Dihydroxy-5-androstene
cpd:C04297	CDP-4-dehydro-3,6-dideoxy-D-glucose; CDP-3,6-dideoxy-D-erythro-hexos-4-ulose; CDP-4-dehydro-3,6-dideoxy-alpha-D-glucose
cpd:C04302	N-(5-Phospho-D-ribosyl)anthranilate; N-(5-Phospho-beta-D-ribosyl)anthranilate; N-(5-Phosphoribosyl)anthranilic acid
cpd:C04308	Phosphatidyl-N-dimethylethanolamine
cpd:C04314	cis-1,2-Dihydronaphthalene-1,2-diol; (1R,2S)-1,2-Dihydronaphthalene-1,2-diol
cpd:C04315	sn-3-D-Galactosyl-sn-2-acylglycerol; Monogalactosyl-monoacylglycerol; Gal-beta1->3acyl1Gro; Galbeta1->3acyl1Gro; Mono-beta-D-galactosylacylglycerol
cpd:C04317	1-Organyl-2-lyso-sn-glycero-3-phosphocholine; 1-Radyl-2-lyso-sn-glycero-3-phosphocholine; 1-Alkyl-2-lyso-sn-glycero-3-phosphocholine; 1-Alkyl-sn-glycero-3-phosphocholine
cpd:C04324	(1E,3E)-4-Hydroxybuta-1,3-diene-1,2,4-tricarboxylate; 2-Hydroxy-4-carboxyhexa-2,4-dienedioate; 4-Carboxy-2-hydroxy-cis,cis-muconate; 4-Carboxy-2-hydroxyhexa-2,4-cis,cis-dienedioate
cpd:C04327	4-Methyl-5-(2-phosphoethyl)-thiazole; 4-Methyl-5-(2-phosphono-oxyethyl)-thiazole
cpd:C04330	5,10-Methenyltetrahydromethanopterin; 5,10-Methenyl-5,6,7,8-tetrahydromethanopterin; N5,N10-Methenyltetrahydromethanopterin
cpd:C04332	6,7-Dimethyl-8-(D-ribityl)lumazine
cpd:C04348	(3S)-3-Carboxy-3-hydroxypropanoyl-CoA; (3S)-3-Carboxy-3-hydroxypropionyl-CoA; L-Malyl-CoA; Malyl-CoA
cpd:C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate; 3-Deoxy-D-glycero-2,5-hexodiulosonate; 2,5-Diketo-3-deoxy-D-gluconate
cpd:C04351	(R)-2-Methylimino-1-phenylpropan-1-ol
cpd:C04352	(R)-4'-Phosphopantothenoyl-L-cysteine; N-[(R)-4'-Phosphopantothenoyl]-L-cysteine
cpd:C04353	(Z)-4-Hydroxyphenylacetaldehyde oxime; (Z)-[4-Hydroxyphenylacetaldehyde oxime]
cpd:C04361	1-O-Alkyl-2-acetyl-3-acyl-sn-glycerol; 2-Acetyl-1-O-alkyl-3-acyl-sn-glycerol
cpd:C04366	3-(2-Carboxyethenyl)-cis,cis-muconate
cpd:C04368	3-Amino-3-(4-hydroxyphenyl)propanoate; beta-Tyrosine
cpd:C04373	Etiocholanolone; 3alpha-Hydroxy-5beta-androstan-17-one; Etiocholan-3alpha-ol-17-one; 3alpha-Hydroxyetiocholan-17-one
cpd:C04376	5'-Phosphoribosyl-N-formylglycinamide; N-Formyl-GAR; N-Formylglycinamide ribonucleotide; N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide
cpd:C04377	5,10-Methylenetetrahydromethanopterin; N5,N10-Methylenetetrahydromethanopterin
cpd:C04390	N6-Acetyl-LL-2,6-diaminoheptanedioate; N2-Acetyl-LL-2,6-diaminoheptanedioate; N6-Acetyl-LL-2,6-diaminopimelate; N2-Acetyl-LL-2,6-diaminopimelate; N6-Acetyl-L-2,6-diaminoheptanedioate; N6-Acetyl-L-2,6-diaminopimelate; N-Acetyl-LL-2,6-diaminoheptanedioate
cpd:C04392	P1,P4-Bis(5'-xanthosyl) tetraphosphate; XppppX
cpd:C04405	(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA; (S)-3-Hydroxy-2-methylbutyryl-CoA
cpd:C04409	2-Amino-3-carboxymuconate semialdehyde; 2-Amino-3-(3-oxoprop-1-enyl)-but-2-enedioate; 2-Amino-3-(3-oxoprop-1-en-1-yl)but-2-enedioate
cpd:C04411	(2R,3S)-3-Isopropylmalate; 3-Isopropylmalate; 3-Carboxy-2-hydroxy-4-methylpentanoate; 2-D-threo-Hydroxy-3-carboxy-isocaproate
cpd:C04419	Carboxybiotin-carboxyl-carrier protein
cpd:C04421	N-Succinyl-LL-2,6-diaminoheptanedioate; N-Succinyl-LL-2,6-diaminopimelate; N-Succinyl-L-2,6-diaminoheptanedioate; N-Succinyl-L-2,6-diaminopimelate
cpd:C04431	cis-4-Carboxymethylenebut-2-en-4-olide; 4-Carboxymethylenebut-2-en-4-olide
cpd:C04432	tRNA containing 6-isopentenyladenosine
cpd:C04433	(E)-3,7-Dimethylocta-1,6-diene-3,8-diol; (6E)-8-Hydroxylinalool
cpd:C04434	(1E)-4-Oxobut-1-ene-1,2,4-tricarboxylate; 4-Oxalomesaconate; 4-Oxalmesaconic acid
cpd:C04435	(Z)-2-Methyl-5-isopropylhexa-2,5-dienal; cis-2-Methyl-5-isopropylhexa-2,5-dienal
cpd:C04437	1-(5-Phosphoribosyl)imidazole-4-acetate
cpd:C04438	1-Acyl-sn-glycero-3-phosphoethanolamine; L-2-Lysophosphatidylethanolamine
cpd:C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate; 6-Phospho-2-dehydro-3-deoxy-D-gluconate; 2-Keto-3-deoxy-6-phosphogluconate; 2-Dehydro-3-deoxy-D-gluconate 6-phosphate
cpd:C04443	3-O-Methylquercetin; 3',4',5,7-Tetrahydroxy-3-methoxyflavone; 3-Methoxy-5,7,3',4'-tetrahydroxyflavone
cpd:C04444	3,7,4'-Tri-O-methylquercetin; 3',5-Dihydroxy-3,4',7-trimethoxyflavone
cpd:C04454	5-Amino-6-(5'-phospho-D-ribitylamino)uracil; 5-Amino-2,6-dioxy-4-(5'-phospho-D-ribitylamino)pyrimidine; 5-Amino-6-(5-phospho-D-ribitylamino)uracil
cpd:C04457	D-Alanyl-alanyl-poly(glycerolphosphate)
cpd:C04462	N-Succinyl-2-L-amino-6-oxoheptanedioate; N-Succinyl-L-2-amino-6-oxoheptanedioate; N-Succinyl-L-2-amino-6-oxopimelate; N-Succinyl-2-amino-6-oxo-L-pimelic acid; N-Succinyl-epsilon-keto-L-aminopimelic acid; (S)-2-(Succinylamino)-6-oxoheptanedioate
cpd:C04465	alpha,alpha'-Trehalose 6,6'-bismycolate
cpd:C04468	(+)-cis-3,4-Dihydrophenanthrene-3,4-diol; cis-3,4-Dihydroxy-3,4-dihydrophenanthrene
cpd:C04475	1-Alkyl-2-acylglycerophosphoethanolamine; 1-Radyl-2-acyl-sn-glycero-3-phosphoethanolamine; 1-Organyl-2-acyl-sn-glycero-3-phosphoethanolamine; O-1-Alkyl-2-acyl-sn-glycero-3-phosphoethanolamine; 2-Acyl-1-alkyl-sn-glycero-3-phosphoethanolamine
cpd:C04477	1D-myo-Inositol 1,3,4,6-tetrakisphosphate; D-myo-Inositol 1,3,4,6-tetrakisphosphate; Inositol 1,3,4,6-tetrakisphosphate
cpd:C04478	3-Deoxy-D-manno-octulosonate 8-phosphate; 2-Dehydro-3-deoxy-D-octonate 8-phosphate
cpd:C04479	2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate
cpd:C04480	3-Carboxy-2-hydroxymuconate semialdehyde
cpd:C04483	Deoxycholic acid; Deoxycholate; 3alpha,12alpha-Dihydroxy-5beta-cholanate; 3alpha,12alpha-Dihydroxy-5beta-cholanic acid
cpd:C04484	4-Carboxy-2-hydroxymuconate semialdehyde; 4-Carboxy-2-hydroxy-cis,cis-muconate 6-semialdehyde
cpd:C04487	5-(D-Galactosyloxy)-L-lysine-procollagen; Procollagen 5-(D-galactosyl)-L-lysine; Procollagen 5-(D-galactosyloxy)-L-lysine; Procollagen beta-D-galactosyl-L-hydroxylysine
cpd:C04488	5-Methyl-5,6,7,8-tetrahydromethanopterin; 5-Methyltetrahydromethanopterin; 5-Methyl-H4MPT; 5-Methyl-THMPT
